ID,SMILES,Mutagenicity
1214-39-7,c1ccc(cc1)CNc1ncnc2c1[nH]cn2,non-mutagenic
148-24-3,OS(=O)(=O)O.Oc1cccc2c1nccc2.Oc1cccc2c1nccc2,mutagenic
148-24-3,Oc1cccc2c1nccc2,mutagenic
71751-41-2,CO[C@H]1C[C@H](O[C@H]2[C@@H](C)/C=C/C=C/3\CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](C/C=C/2\C)O[C@]2(C3)C=C[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,non-mutagenic
101007-06-1,N#C[C@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H]1[C@@H](C1(C)C)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,non-mutagenic
150114-71-9,Clc1cc(N)c(c(n1)C(=O)O)Cl,non-mutagenic
120162-55-2,COc1nc(nc(c1)O)NC(=O)NS(=O)(=O)c1n(C)ncc1c1nnn(n1)C,non-mutagenic
120162-55-2,COc1cc(OC)nc(n1)N,non-mutagenic
120162-55-2,Cn1nnc(n1)c1cnn(c1S(=O)(=O)N)C,non-mutagenic
94-75-7,Clc1ccc(c(c1)Cl)O,non-mutagenic
94-82-6,OC(=O)CCCOc1ccc(cc1Cl)Cl,non-mutagenic
83055-99-6,O=C1NS(=O)(=O)Cc2c1cccc2,non-mutagenic
83055-99-6,COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)Cc1ccccc1C(=O)O,non-mutagenic
83055-99-6,COC(=O)c1ccccc1CS(=O)(=O)N,non-mutagenic
25057-89-0,CC(N1C(=O)c2ccccc2NS1(=O)=O)C,non-mutagenic
177406-68-7,CC(OC(=O)N[C@@H](C(=O)N[C@@H](c1nc2c(s1)cc(cc2)F)C)C(C)C)C,mutagenic
55179-31-2,OC(C(C)(C)C)C(n1cncn1)Oc1ccc(cc1)c1ccccc1,non-mutagenic
581809-46-3,Fc1ccc(c(c1)c1ccc(c(c1)Cl)Cl)NC(=O)c1cn(nc1C(F)F)C,non-mutagenic
28772-56-7,Brc1ccc(cc1)c1ccc(cc1)C(CC(c1c(=O)oc2c(c1O)cccc2)c1ccccc1)O,non-mutagenic
116255-48-2,BrC1COC(C1)(Cn1cncn1)c1ccc(cc1Cl)Cl,non-mutagenic
41483-43-6,CCCCc1c(C)nc(nc1OS(=O)(=O)N(C)C)NCC,non-mutagenic
41483-43-6,CCCCc1c(=O)nc([nH]c1C)NCC,non-mutagenic
69327-76-0,CC(N1C(=NC(C)(C)C)SCN(C1=O)c1ccccc1)C,non-mutagenic
95465-99-9,CCOP(=O)(SC(CC)C)SC(CC)C,non-mutagenic
133-06-2,ClC(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl,mutagenic
571-58-4,Cc1ccc(c2c1cccc2)C,non-mutagenic
3100-04-7,CC1=CC1,non-mutagenic
97-53-0,C=CCc1ccc(c(c1)OC)O,non-mutagenic
86-86-2,NC(=O)Cc1cccc2c1cccc2,non-mutagenic
86-87-3,OC(=O)Cc1cccc2c1cccc2,non-mutagenic
86-87-3,[O-]C(=O)Cc1cccc2c1cccc2.[Na+],non-mutagenic
94-75-7,OC(=O)COc1ccc(cc1Cl)Cl,non-mutagenic
71751-41-2,COC1CC(OC2C(C)C=CC=C3COCC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(CC)C)C)OC(C1OC1CC(OC)C(C(O1)C)O)C,non-mutagenic
71751-41-2,CO[C@H]1C[C@H](OC[C@]2(C)C=CC=C3CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](CC=C2C)O[C@]2(C3)C=C[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,non-mutagenic
57960-19-7,CCCCCCCCCCCCC1=C(OC(=O)C)C(=O)c2c(C1=O)cccc2,non-mutagenic
57960-19-7,CCCCCCCCCCC(=O)C(=O)c1ccccc1C(=O)O,non-mutagenic
135158-54-2,CSC(=O)c1cccc2c1snn2,non-mutagenic
135158-54-2,OC(=O)c1cccc2c1snn2,mutagenic
135158-54-2,OC(=O)c1ccc(c2c1snn2)O,non-mutagenic
135158-54-2,Oc1cc2nnsc2c(c1)C(=O)O,non-mutagenic
74070-46-5,Clc1c(ccc(c1N)[N+](=O)[O-])Oc1ccccc1,non-mutagenic
101007-06-1,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)/C=C\C(=O)O,non-mutagenic
101007-06-1,OC(=O)/C=C\C1C(C1(C)C)C(=O)O,non-mutagenic
7784-26-1,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].O.O.O.O.O.O.O.O.O.O.O.O.[NH4+],non-mutagenic
20859-73-8,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],non-mutagenic
12057-74-8,P,non-mutagenic
20859-73-8,[Al]#P,non-mutagenic
120923-37-7,COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)N(S(=O)(=O)C)C,non-mutagenic
120923-37-7,COc1nc(nc(c1)O)NC(=O)NS(=O)(=O)N(S(=O)(=O)C)C,non-mutagenic
120923-37-7,Oc1cc(=O)[nH]c(n1)N,non-mutagenic
16118-49-3,CCNC(=O)C(OC(=O)Nc1ccccc1)C,non-mutagenic
348635-87-0,Fc1ccc2c(c1)n(c(c2Br)C)S(=O)(=O)c1ncn(n1)S(=O)(=O)N(C)C,non-mutagenic
348635-87-0,Cc1c(Br)c2c(n1S(=O)(=O)C1=NN=C[N]1)cc(cc2)F,non-mutagenic
131860-33-8,CO/C=C(\c1ccccc1Oc1ncnc(c1)Oc1ccccc1C#N)/C(=O)OC,non-mutagenic
131860-33-8,N#Cc1ccccc1Oc1ncnc(c1)Oc1ccccc1/C(=C/C(=O)C)/C(=O)O,non-mutagenic
50-81-7,OCC(C1OC(=O)C(=C1O)O)O,non-mutagenic
11141-17-6,C/C=C(/C(=O)OC1CC(OC(=O)C)C2(C3C41COC(C4C(C)(C(C3OC2)O)C12OC2(C)C2CC1OC1C2(O)C=CO1)(O)C(=O)OC)OC(=O)C)\C,non-mutagenic
1861-40-1,CCCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC,non-mutagenic
120162-55-2,COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)c1n(C)ncc1c1nnn(n1)C,non-mutagenic
82560-54-1,CCOC(=O)CCN(C(C)C)SN(C(=O)Oc1cccc2c1OC(C2)(C)C)C,non-mutagenic
83055-99-6,COc1nc(nc(c1)OC)NC(=O)NS(=O)(=O)Cc1ccccc1C(=O)OC,non-mutagenic
25057-89-0,CC(N1C(=O)c2ccccc2[N-]S1(=O)=O)C.[Na+],non-mutagenic
25057-89-0,CC(N1C(=O)c2cccc(c2NS1(=O)=O)O)C,non-mutagenic
65731-84-2,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,mutagenic
42576-02-3,COC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)Cl,non-mutagenic
71626-11-4,COC(=O)C(N(c1c(C)cccc1C)C(=O)Cc1ccccc1)C,non-mutagenic
98243-83-5,COC(=O)C(N(c1c(C)cccc1C)C(=O)CC(=O)O)C,non-mutagenic
71626-11-4,CC(N(c1c(C)cccc1C)C(=O)CC(=O)O)C(=O)O,non-mutagenic
177406-68-7,Fc1ccc2c(c1)sc(n2)O,non-mutagenic
177406-68-7,Fc1ccc2c(c1)sc(n2)C(O)C,non-mutagenic
177406-68-7,Fc1ccc2c(c1)sc(n2)C(=O)C,mutagenic
177406-68-7,CC(OC(=O)NC(C(=O)NC(c1sc2c(n1)cc(c(c2)F)O)C)C(C)C)C,non-mutagenic
105512-06-9,C#CCOC(=O)[C@H](Oc1ccc(cc1)Oc1ncc(cc1F)Cl)C,non-mutagenic
81777-89-1,O=C1N(OCC1(C)C)Cc1ccccc1Cl,non-mutagenic
81777-89-1,O=C1NOCC1(C)C,non-mutagenic
51338-27-3,COC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1Cl)Cl)C,non-mutagenic
64902-72-3,COc1nc(nc(n1)C)NC(=O)NS(=O)(=O)c1ccccc1Cl,non-mutagenic
64902-72-3,Clc1ccccc1S(=O)(=O)N,non-mutagenic
64902-72-3,O=C(NS(=O)(=O)c1ccccc1Cl)NC(=N)/N=C(/O)\N,non-mutagenic
1702-17-6,Clc1ccc(c(n1)C(=O)O)Cl,non-mutagenic
122008-85-9,CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1F)C#N)C,non-mutagenic
35367-38-5,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,non-mutagenic
16118-49-3,CC(C(=O)NC(=O)O)OC(=O)Nc1ccccc1,non-mutagenic
5234-68-4,O=C(C1=C(C)OCCS1)Nc1ccccc1,non-mutagenic
5234-68-4,O=S1CCOC(=C1C(=O)N)C,non-mutagenic
15165-67-0,OC(=O)[C@H](Oc1ccc(cc1Cl)Cl)C,non-mutagenic
83164-33-4,Fc1ccc(c(c1)F)NC(=O)c1cccnc1Oc1cccc(c1)C(F)(F)F,non-mutagenic
83164-33-4,OC(=O)c1cccnc1Oc1cccc(c1)C(F)(F)F,non-mutagenic
66215-27-8,Nc1nc(NC2CC2)nc(n1)N,non-mutagenic
99-30-9,[O-][N+](=O)c1cc(Cl)c(c(c1)Cl)N,mutagenic
7173-51-5,CCCCCCCCCC[N+](CCCCCCCCCC)(C)C.[Cl-],non-mutagenic
333-41-5,CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,non-mutagenic
74115-24-5,Clc1ccccc1c1nnc(nn1)c1ccccc1Cl,non-mutagenic
57966-95-7,CCNC(=O)NC(=O)/C(=N/OC)/C#N,non-mutagenic
85-00-7,c1cc[n+]2c(-c3cccc[n+]3CC2)c1,non-mutagenic
85-00-7,O=C1NCC[n+]2c1cccc2,non-mutagenic
31717-87-0,CC1OC(C)CN(C1)C1CCCCCCCCCCC1.CC(=O)O,non-mutagenic
2439-10-3,CC(=O)O.CCCCCCCCCCCCNC(=N)N,non-mutagenic
106325-08-0,Fc1ccc(cc1)C1(Cn2cncn2)OC1c1ccccc1Cl,non-mutagenic
1918-00-9,COc1c(Cl)ccc(c1C(=O)O)Cl,non-mutagenic
1918-00-9,COc1c(Cl)cc(c(c1C(=O)O)Cl)O,non-mutagenic
66230-04-4,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,non-mutagenic
66230-04-4,N#CC(C(c1ccc(cc1)Cl)C(C)C)c1cccc(c1)Oc1ccccc1,non-mutagenic
66230-04-4,NC(=O)C(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,non-mutagenic
2593-15-9,CCOc1snc(n1)C(Cl)(Cl)Cl,non-mutagenic
2593-15-9,CCOc1nc(ns1)C(=O)O,non-mutagenic
180409-60-3,O=C(N=C(c1c(F)c(F)ccc1C(F)(F)F)NOCC1CC1)Cc1ccccc1,non-mutagenic
