SID,SMILES,-log10(Acute_toxicity-Fathead_minnow [mmol/l])
48414883,CCCCCCOC1=C(C=C(C=C1)C=O)OC,1.9469215565165803
48414884,COC1=C(C(=CC(=C1O)Br)C=O)[N+](=O)[O-],0.575118363368933
48414886,C1=CC=C(C(=C1)[N+](=O)[O-])OC2=CC=C(C=C2)Cl,2.114073660198569
48414887,CC1=C(C=CC=C1Cl)NC=O,0.5606673061697374
48414888,CCCCOC(=O)C1=CC(=CC=C1)C(=O)OCCCC,2.490797477668897
48414889,C#CC(C1=CC=CC=C1)(C2=CC=CC=C2)O,1.2732727909734278
48414890,CCCSCCSCCC,1.3746875490383261
48414893,CCCSCCCCSCCC,1.8386319977650252
48414896,C1CCC(CC1)NC(=O)OCCCl,0.7695510786217261
48414897,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,-0.31806333496276157
48414898,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,1.2276782932770802
48414899,CCOC(=O)N,-1.7693773260761385
48414900,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],-1.0969100130080565
48414901,C1=CC=C(C=C1)C(=O)N,-0.7371926427047373
48414902,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],0.1505805862031006
48414903,CN(C)N,0.8827287043442358
48414904,CCCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.[Na+],0.7011469235902933
48414905,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,0.42365864979420714
48414906,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.10902040301031106
48414907,CC1=CC(=O)C2=CC=CC=C2C1=O,3.1944991418415998
48414908,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,2.3526170298853804
48414909,CC1=C(C=CC(=C1)O)Cl,1.4156687756324693
48414910,C1CN=C(N1)CC2=CC=CC=C2.Cl,-0.25527250510330607
48414911,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,1.106793246940152
48414912,CCOCC,-1.5378190950732742
48414913,C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75.C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75.OS(=O)(=O)O,2.9546770212133424
48414914,C1=CC=C(C=C1)N,-0.05307844348341968
48414915,CNC(=O)OC1=CC=CC2=CC=CC=C21,1.3615107430453628
48414916,CCO,-2.503790683057181
48414917,CN1CCCC1C2=CN=CC=C2.OS(=O)(=O)O,1.275724130399211
48414918,C1=CC=C(C(=C1)C(=O)N)O,0.13312218566250114
48414920,CCCCCC=O,0.7569619513137056
48414921,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,1.8181564120552274
48414922,C1=CC=C(C=C1)OC2=CC=C(C=C2)C=O,1.6345120151091004
48414923,CO,-2.962369335670021
48414924,CC(C)O,-2.1583624920952498
48414925,CC(=O)C,-2.089905111439398
48414926,C(Cl)(Cl)Cl,0.22767829327708025
48414927,CS(=O)C,-2.6384892569546374
48414928,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,2.221848749616356
